round,season,date,home,team,xg,goals,goals_against,xg_against,opponent,attendance,venue,ref
26,1920,2020-05-16,0,Schalke 04,0.5,0,4,1.6,Dortmund,0,Signal Iduna Park,Deniz Aytekin
26,1920,2020-05-16,0,Hertha BSC,1.5,3,0,2.5,Hoffenheim,0,PreZero Arena,Christian Dingert
26,1920,2020-05-16,0,Wolfsburg,1.5,2,1,1.1,Augsburg,0,WWK Arena,Felix Brych
26,1920,2020-05-16,0,Freiburg,0.3,1,1,2.1,RB Leipzig,0,Red Bull Arena,Manuel Gräfe
26,1920,2020-05-16,0,Paderborn 07,0.7,0,0,0.7,Düsseldorf,0,Merkur Spielarena,Frank Willenborg
26,1920,2020-05-16,0,M'Gladbach,3.2,3,1,1,Eint Frankfurt,0,Commerzbank-Arena,Felix Zwayer
26,1920,2020-05-17,0,Mainz 05,1.9,2,2,2.3,Köln,0,RheinEnergieSTADION,Guido Winkmann
26,1920,2020-05-17,0,Bayern Munich,1.5,2,0,0.5,Union Berlin,0,Stadion An der Alten Försterei,Bastian Dankert
26,1920,2020-05-18,0,Leverkusen,1.7,4,1,1.2,Werder Bremen,0,Weserstadion,Tobias Stieler
27,1920,2020-05-22,0,Union Berlin,0.2,0,4,1.6,Hertha BSC,0,Olympiastadion Berlin,Harm Osmers
27,1920,2020-05-23,0,Dortmund,0.9,2,0,0.4,Wolfsburg,0,Volkswagen Arena,Daniel Siebert
27,1920,2020-05-23,0,Leverkusen,2.9,3,1,1.6,M'Gladbach,0,Stadion im Borussia-Park,Sören Storks
27,1920,2020-05-23,0,Werder Bremen,0.8,1,0,0.7,Freiburg,0,Schwarzwald-Stadion,Robert Hartmann
27,1920,2020-05-23,0,Hoffenheim,1.7,1,1,0.7,Paderborn 07,0,Benteler-Arena,Bibiana Steinhaus
27,1920,2020-05-23,0,Eint Frankfurt,1,2,5,2.7,Bayern Munich,0,Allianz Arena,Marco Fritz
27,1920,2020-05-24,0,Augsburg,1.3,3,0,0.6,Schalke 04,0,Veltins-Arena,Sascha Stegemann
27,1920,2020-05-24,0,RB Leipzig,5.2,5,0,0.3,Mainz 05,0,Opel Arena,Markus Schmidt
27,1920,2020-05-24,0,Düsseldorf,0.7,2,2,1.4,Köln,0,RheinEnergieSTADION,Benjamin Cortus
28,1920,2020-05-26,0,Bayern Munich,0.8,1,0,0.9,Dortmund,0,Signal Iduna Park,Tobias Stieler
28,1920,2020-05-26,0,M'Gladbach,0.5,0,0,0.8,Werder Bremen,0,Weserstadion,Manuel Gräfe
28,1920,2020-05-26,0,Wolfsburg,2.4,4,1,1,Leverkusen,0,BayArena,Daniel Schlager
28,1920,2020-05-26,0,Freiburg,0.9,3,3,4.8,Eint Frankfurt,0,Commerzbank-Arena,Martin Petersen
28,1920,2020-05-27,0,Hertha BSC,1.6,2,2,0.7,RB Leipzig,0,Red Bull Arena,Bastian Dankert
28,1920,2020-05-27,0,Paderborn 07,1.7,0,0,0.7,Augsburg,0,WWK Arena,Deniz Aytekin
28,1920,2020-05-27,0,Köln,2.2,1,3,1.3,Hoffenheim,0,PreZero Arena,Felix Brych
28,1920,2020-05-27,0,Mainz 05,1,1,1,0.4,Union Berlin,0,Stadion An der Alten Försterei,Robert Schröder
28,1920,2020-05-27,0,Schalke 04,0.6,1,2,1.9,Düsseldorf,0,Merkur Spielarena,Tobias Welz
29,1920,2020-05-29,0,Leverkusen,0.6,1,0,0.9,Freiburg,0,Schwarzwald-Stadion,Marco Fritz
29,1920,2020-05-30,0,Eint Frankfurt,1.6,2,1,1.6,Wolfsburg,0,Volkswagen Arena,Guido Winkmann
29,1920,2020-05-30,0,Werder Bremen,0.5,1,0,0.7,Schalke 04,0,Veltins-Arena,Felix Zwayer
29,1920,2020-05-30,0,Hoffenheim,1.7,1,0,0.9,Mainz 05,0,Opel Arena,Sascha Stegemann
29,1920,2020-05-30,0,Augsburg,0.6,0,2,2.1,Hertha BSC,0,Olympiastadion Berlin,Sven Jablonski
29,1920,2020-05-30,0,Düsseldorf,0.8,0,5,3,Bayern Munich,0,Allianz Arena,Robert Hartmann
29,1920,2020-05-31,0,Union Berlin,0.9,1,4,2.2,M'Gladbach,0,Stadion im Borussia-Park,Frank Willenborg
29,1920,2020-05-31,0,Dortmund,3.8,6,1,1,Paderborn 07,0,Benteler-Arena,Daniel Siebert
29,1920,2020-06-01,0,RB Leipzig,3.4,4,2,1,Köln,0,RheinEnergieSTADION,Christian Dingert
24,1920,2020-06-03,0,Eint Frankfurt,1.5,3,0,0.5,Werder Bremen,0,Weserstadion,Patrick Ittrich
30,1920,2020-06-05,0,M'Gladbach,2.4,0,1,1.1,Freiburg,0,Schwarzwald-Stadion,Markus Schmidt
30,1920,2020-06-06,0,Bayern Munich,2.6,4,2,0.9,Leverkusen,0,BayArena,Manuel Gräfe
30,1920,2020-06-06,0,Hoffenheim,0.9,2,2,2.2,Düsseldorf,0,Merkur Spielarena,Sören Storks
30,1920,2020-06-06,0,Paderborn 07,1.4,1,1,2.1,RB Leipzig,0,Red Bull Arena,Deniz Aytekin
30,1920,2020-06-06,0,Mainz 05,2,2,0,0.4,Eint Frankfurt,0,Commerzbank-Arena,Felix Brych
30,1920,2020-06-06,0,Hertha BSC,0.4,0,1,1.8,Dortmund,0,Signal Iduna Park,Harm Osmers
30,1920,2020-06-07,0,Wolfsburg,1.7,1,0,0.7,Werder Bremen,0,Weserstadion,Bibiana Steinhaus
30,1920,2020-06-07,0,Schalke 04,0.2,1,1,1.6,Union Berlin,0,Stadion An der Alten Försterei,Tobias Stieler
30,1920,2020-06-07,0,Köln,1,1,1,2.1,Augsburg,0,WWK Arena,Benjamin Cortus
31,1920,2020-06-12,0,RB Leipzig,1.6,2,0,1.8,Hoffenheim,0,PreZero Arena,Tobias Welz
31,1920,2020-06-13,0,Dortmund,0.6,1,0,0.5,Düsseldorf,0,Merkur Spielarena,Sascha Stegemann
31,1920,2020-06-13,0,Werder Bremen,2.6,5,1,1.7,Paderborn 07,0,Benteler-Arena,Christian Dingert
31,1920,2020-06-13,0,Freiburg,2.2,2,2,2.4,Wolfsburg,0,Volkswagen Arena,Bastian Dankert
31,1920,2020-06-13,0,Union Berlin,1.1,2,1,1.1,Köln,0,RheinEnergieSTADION,Martin Petersen
31,1920,2020-06-13,0,Eint Frankfurt,2.5,4,1,0.9,Hertha BSC,0,Olympiastadion Berlin,Robert Hartmann
31,1920,2020-06-13,0,M'Gladbach,0.7,1,2,1.5,Bayern Munich,0,Allianz Arena,Felix Zwayer
31,1920,2020-06-14,0,Augsburg,0.9,1,0,1.7,Mainz 05,0,Opel Arena,Marco Fritz
31,1920,2020-06-14,0,Leverkusen,1.2,1,1,1.3,Schalke 04,0,Veltins-Arena,Daniel Siebert
32,1920,2020-06-16,0,Wolfsburg,0.4,0,3,1.7,M'Gladbach,0,Stadion im Borussia-Park,Robert Schröder
32,1920,2020-06-16,0,Bayern Munich,1.1,1,0,0.5,Werder Bremen,0,Weserstadion,Harm Osmers
32,1920,2020-06-16,0,Paderborn 07,0.8,0,1,1.7,Union Berlin,0,Stadion An der Alten Försterei,Bibiana Steinhaus
32,1920,2020-06-16,0,Hertha BSC,1.8,1,2,1.9,Freiburg,0,Schwarzwald-Stadion,Tobias Stieler
32,1920,2020-06-17,0,Schalke 04,0.8,1,2,2.5,Eint Frankfurt,0,Commerzbank-Arena,Guido Winkmann
32,1920,2020-06-17,0,Düsseldorf,1,2,2,1.2,RB Leipzig,0,Red Bull Arena,Manuel Gräfe
32,1920,2020-06-17,0,Köln,0.6,1,3,2.3,Leverkusen,0,BayArena,Sven Jablonski
32,1920,2020-06-17,0,Hoffenheim,1.6,3,1,0.5,Augsburg,0,WWK Arena,Deniz Aytekin
32,1920,2020-06-17,0,Mainz 05,1.8,2,0,1.1,Dortmund,0,Signal Iduna Park,Frank Willenborg
33,1920,2020-06-20,0,Wolfsburg,2.1,4,1,0.9,Schalke 04,0,Veltins-Arena,Sascha Stegemann
33,1920,2020-06-20,0,Leverkusen,1.4,0,2,1.9,Hertha BSC,0,Olympiastadion Berlin,Felix Brych
33,1920,2020-06-20,0,Werder Bremen,2,1,3,1.9,Mainz 05,0,Opel Arena,Manuel Gräfe
33,1920,2020-06-20,0,Dortmund,3.1,2,0,0.9,RB Leipzig,0,Red Bull Arena,Felix Zwayer
33,1920,2020-06-20,0,M'Gladbach,4,3,1,0.6,Paderborn 07,0,Benteler-Arena,Tobias Welz
33,1920,2020-06-20,0,Union Berlin,0.4,0,4,2.1,Hoffenheim,0,PreZero Arena,Robert Hartmann
33,1920,2020-06-20,0,Augsburg,1.5,1,1,0.4,Düsseldorf,0,Merkur Spielarena,Daniel Siebert
33,1920,2020-06-20,0,Freiburg,1.8,1,3,2,Bayern Munich,0,Allianz Arena,Sören Storks
33,1920,2020-06-20,0,Eint Frankfurt,1.6,1,1,1,Köln,0,RheinEnergieSTADION,Christian Dingert
34,1920,2020-06-27,0,Düsseldorf,1,0,3,1.8,Union Berlin,0,Stadion An der Alten Försterei,Harm Osmers
34,1920,2020-06-27,0,Schalke 04,0.8,0,4,1.5,Freiburg,0,Schwarzwald-Stadion,Martin Petersen
34,1920,2020-06-27,0,Köln,0.8,1,6,3,Werder Bremen,0,Weserstadion,Bastian Dankert
34,1920,2020-06-27,0,Mainz 05,0.4,0,1,1.5,Leverkusen,0,BayArena,Benjamin Cortus
34,1920,2020-06-27,0,Hoffenheim,3.1,4,0,0.2,Dortmund,0,Signal Iduna Park,Guido Winkmann
34,1920,2020-06-27,0,Paderborn 07,2.2,2,3,2.1,Eint Frankfurt,0,Commerzbank-Arena,Benjamin Brand
34,1920,2020-06-27,0,Hertha BSC,1,1,2,3,M'Gladbach,0,Stadion im Borussia-Park,Deniz Aytekin
34,1920,2020-06-27,0,RB Leipzig,2.2,2,1,0.2,Augsburg,0,WWK Arena,Felix Brych
34,1920,2020-06-27,0,Bayern Munich,3.2,4,0,0.8,Wolfsburg,0,Volkswagen Arena,Patrick Ittrich
1,2021,2020-09-18,1,Bayern Munich,5.1,8,0,0.2,Schalke 04,0,Allianz Arena,Felix Zwayer
1,2021,2020-09-19,1,Köln,2.1,2,3,3.1,Hoffenheim,0,RheinEnergieSTADION,Daniel Siebert
1,2021,2020-09-19,1,Eint Frankfurt,1.6,1,1,1,Arminia,6500,Commerzbank-Arena,Benjamin Brand
1,2021,2020-09-19,1,Werder Bremen,1,1,4,2.1,Hertha BSC,8400,Weserstadion,Sascha Stegemann
1,2021,2020-09-19,1,Union Berlin,1.3,1,3,1.1,Augsburg,4600,Stadion An der Alten Försterei,Marco Fritz
1,2021,2020-09-19,1,Stuttgart,3.1,2,3,2,Freiburg,7123,Mercedes-Benz Arena,Benjamin Cortus
1,2021,2020-09-19,1,Dortmund,1.6,3,0,0.6,M'Gladbach,9300,Signal Iduna Park,Felix Brych
1,2021,2020-09-20,1,RB Leipzig,2.8,3,1,1.2,Mainz 05,8500,Red Bull Arena,Manuel Gräfe
1,2021,2020-09-20,1,Wolfsburg,1,0,0,0.7,Leverkusen,0,Volkswagen Arena,Sven Jablonski
2,2021,2020-09-25,1,Hertha BSC,1.1,1,3,1.7,Eint Frankfurt,4000,Olympiastadion Berlin,Bastian Dankert
2,2021,2020-09-26,1,Mainz 05,1.2,1,4,2.7,Stuttgart,3403,Opel Arena,Daniel Schlager
2,2021,2020-09-26,1,M'Gladbach,1.3,1,1,0.9,Union Berlin,10383,Stadion im Borussia-Park,Tobias Stieler
2,2021,2020-09-26,1,Leverkusen,0.8,1,1,0.8,RB Leipzig,6042,BayArena,Harm Osmers
2,2021,2020-09-26,1,Arminia,0.2,1,0,0.9,Köln,5460,SchücoArena,Patrick Ittrich
2,2021,2020-09-26,1,Augsburg,1,2,0,1.7,Dortmund,6000,WWK Arena,Martin Petersen
2,2021,2020-09-26,1,Schalke 04,1.2,1,3,2.4,Werder Bremen,0,Veltins-Arena,Markus Schmidt
2,2021,2020-09-27,1,Hoffenheim,4,4,1,1.6,Bayern Munich,0,PreZero Arena,Benjamin Brand
2,2021,2020-09-27,1,Freiburg,1.5,1,1,0.6,Wolfsburg,3200,Schwarzwald-Stadion,Sören Storks
3,2021,2020-10-02,1,Union Berlin,1.9,4,0,0.2,Mainz 05,4400,Stadion An der Alten Försterei,Sascha Stegemann
3,2021,2020-10-03,1,Stuttgart,0.8,1,1,1.4,Leverkusen,9500,Mercedes-Benz Arena,Robert Hartmann
3,2021,2020-10-03,1,Werder Bremen,0.4,1,0,0.9,Arminia,300,Weserstadion,Robert Schröder
3,2021,2020-10-03,1,Köln,0.8,1,3,2.2,M'Gladbach,300,RheinEnergieSTADION,Marco Fritz
3,2021,2020-10-03,1,Eint Frankfurt,2.6,2,1,0.5,Hoffenheim,8000,Commerzbank-Arena,Manuel Gräfe
3,2021,2020-10-03,1,Dortmund,3.1,4,0,0.6,Freiburg,11500,Signal Iduna Park,Guido Winkmann
3,2021,2020-10-03,1,RB Leipzig,3.2,4,0,0.1,Schalke 04,8500,Red Bull Arena,Florian Badstübner
3,2021,2020-10-04,1,Wolfsburg,1.2,0,0,0.9,Augsburg,4632,Volkswagen Arena,Felix Zwayer
3,2021,2020-10-04,1,Bayern Munich,3.8,4,3,1.4,Hertha BSC,0,Allianz Arena,Benjamin Cortus
4,2021,2020-10-17,1,Freiburg,1,1,1,1.6,Werder Bremen,0,Schwarzwald-Stadion,Christian Dingert
4,2021,2020-10-17,1,Hertha BSC,1.2,0,2,0.8,Stuttgart,4000,Olympiastadion Berlin,Harm Osmers
4,2021,2020-10-17,1,Hoffenheim,1,0,1,2.4,Dortmund,6030,PreZero Arena,Sascha Stegemann
4,2021,2020-10-17,1,Augsburg,0.7,0,2,1.7,RB Leipzig,0,WWK Arena,Felix Brych
4,2021,2020-10-17,1,Mainz 05,0.3,0,1,0.5,Leverkusen,250,Opel Arena,Bastian Dankert
4,2021,2020-10-17,1,Arminia,1.4,1,4,2.6,Bayern Munich,0,SchücoArena,Daniel Siebert
4,2021,2020-10-17,1,M'Gladbach,1.6,1,1,1.2,Wolfsburg,300,Stadion im Borussia-Park,Daniel Schlager
4,2021,2020-10-18,1,Köln,1.1,1,1,2.1,Eint Frankfurt,300,RheinEnergieSTADION,Sven Jablonski
4,2021,2020-10-18,1,Schalke 04,0.3,1,1,0.9,Union Berlin,300,Veltins-Arena,Patrick Ittrich
5,2021,2020-10-23,1,Stuttgart,0.7,1,1,2.2,Köln,0,Mercedes-Benz Arena,Guido Winkmann
5,2021,2020-10-24,1,Union Berlin,1.3,1,1,0.4,Freiburg,4500,Stadion An der Alten Försterei,Robert Schröder
5,2021,2020-10-24,1,RB Leipzig,2.3,2,1,0.9,Hertha BSC,999,Red Bull Arena,Tobias Stieler
5,2021,2020-10-24,1,Mainz 05,1.7,2,3,2.9,M'Gladbach,100,Opel Arena,Frank Willenborg
5,2021,2020-10-24,1,Bayern Munich,3.4,5,0,0.5,Eint Frankfurt,0,Allianz Arena,Markus Schmidt
5,2021,2020-10-24,1,Dortmund,1.5,3,0,0.2,Schalke 04,300,Signal Iduna Park,Felix Zwayer
5,2021,2020-10-25,1,Wolfsburg,2.1,2,1,0.4,Arminia,4519,Volkswagen Arena,Manuel Gräfe
5,2021,2020-10-25,1,Werder Bremen,0.3,1,1,1.2,Hoffenheim,0,Weserstadion,Daniel Schlager
5,2021,2020-10-26,1,Leverkusen,2.8,3,1,0.4,Augsburg,0,BayArena,Sören Storks
6,2021,2020-10-30,1,Schalke 04,0.5,1,1,1.6,Stuttgart,0,Veltins-Arena,Benjamin Brand
6,2021,2020-10-31,1,Arminia,0.2,0,2,2.7,Dortmund,0,SchücoArena,Bastian Dankert
6,2021,2020-10-31,1,Köln,1,1,2,1,Bayern Munich,0,RheinEnergieSTADION,Frank Willenborg
6,2021,2020-10-31,1,Augsburg,2,3,1,0.8,Mainz 05,0,WWK Arena,Marco Fritz
6,2021,2020-10-31,1,Eint Frankfurt,2,1,1,0.9,Werder Bremen,0,Commerzbank-Arena,Felix Brych
6,2021,2020-10-31,1,M'Gladbach,0.5,1,0,0.9,RB Leipzig,0,Stadion im Borussia-Park,Daniel Siebert
6,2021,2020-11-01,1,Freiburg,1.1,2,4,1.5,Leverkusen,0,Schwarzwald-Stadion,Benjamin Cortus
6,2021,2020-11-01,1,Hertha BSC,1.2,1,1,0.5,Wolfsburg,0,Olympiastadion Berlin,Martin Petersen
6,2021,2020-11-02,1,Hoffenheim,1.3,1,3,4,Union Berlin,0,PreZero Arena,Robert Hartmann
7,2021,2020-11-06,1,Werder Bremen,1.7,1,1,0.4,Köln,0,Weserstadion,Florian Badstübner
7,2021,2020-11-07,1,Augsburg,0.7,0,3,2.4,Hertha BSC,0,WWK Arena,Frank Willenborg
7,2021,2020-11-07,1,RB Leipzig,2,3,0,1,Freiburg,0,Red Bull Arena,Felix Zwayer
7,2021,2020-11-07,1,Mainz 05,3.1,2,2,1.7,Schalke 04,0,Opel Arena,Patrick Ittrich
7,2021,2020-11-07,1,Stuttgart,2.3,2,2,2.4,Eint Frankfurt,0,Mercedes-Benz Arena,Sascha Stegemann
7,2021,2020-11-07,1,Union Berlin,2.1,5,0,0.3,Arminia,0,Stadion An der Alten Försterei,Matthias Jöllenbeck
7,2021,2020-11-07,1,Dortmund,2,2,3,1.1,Bayern Munich,0,Signal Iduna Park,Manuel Gräfe
7,2021,2020-11-08,1,Wolfsburg,2,2,1,2,Hoffenheim,0,Volkswagen Arena,Sven Jablonski
7,2021,2020-11-08,1,Leverkusen,1.6,4,3,2.5,M'Gladbach,0,BayArena,Harm Osmers
8,2021,2020-11-21,1,Arminia,0,1,2,1.5,Leverkusen,0,SchücoArena,Felix Brych
8,2021,2020-11-21,1,Bayern Munich,1.2,1,1,1.4,Werder Bremen,0,Allianz Arena,Guido Winkmann
8,2021,2020-11-21,1,Schalke 04,0.9,0,2,2.1,Wolfsburg,0,Veltins-Arena,Marco Fritz
8,2021,2020-11-21,1,M'Gladbach,2,1,1,0.7,Augsburg,0,Stadion im Borussia-Park,Markus Schmidt
8,2021,2020-11-21,1,Hoffenheim,1.9,3,3,2.1,Stuttgart,0,PreZero Arena,Daniel Siebert
8,2021,2020-11-21,1,Eint Frankfurt,1.1,1,1,0.9,RB Leipzig,0,Commerzbank-Arena,Sören Storks
8,2021,2020-11-21,1,Hertha BSC,1.3,2,5,3.5,Dortmund,0,Olympiastadion Berlin,Bastian Dankert
8,2021,2020-11-22,1,Freiburg,2.2,1,3,2.8,Mainz 05,0,Schwarzwald-Stadion,Martin Petersen
8,2021,2020-11-22,1,Köln,0.7,1,2,1.9,Union Berlin,0,RheinEnergieSTADION,Tobias Stieler
9,2021,2020-11-27,1,Wolfsburg,1.8,5,3,1,Werder Bremen,0,Volkswagen Arena,Christian Dingert
9,2021,2020-11-28,1,Dortmund,2.9,1,2,1.6,Köln,0,Signal Iduna Park,Benjamin Brand
9,2021,2020-11-28,1,RB Leipzig,2.3,2,1,1.3,Arminia,0,Red Bull Arena,Robert Hartmann
9,2021,2020-11-28,1,Augsburg,0.4,1,1,0.8,Freiburg,0,WWK Arena,Robert Schröder
9,2021,2020-11-28,1,Stuttgart,1.8,1,3,1,Bayern Munich,0,Mercedes-Benz Arena,Harm Osmers
9,2021,2020-11-28,1,Union Berlin,2.8,3,3,2,Eint Frankfurt,0,Stadion An der Alten Försterei,Tobias Reichel
9,2021,2020-11-28,1,M'Gladbach,3.1,4,1,1,Schalke 04,0,Stadion im Borussia-Park,Manuel Gräfe
9,2021,2020-11-29,1,Leverkusen,0.7,0,0,0.4,Hertha BSC,0,BayArena,Daniel Schlager
9,2021,2020-11-29,1,Mainz 05,1.4,1,1,1,Hoffenheim,0,Opel Arena,Sascha Stegemann
10,2021,2020-12-04,1,Hertha BSC,0.7,3,1,0.4,Union Berlin,0,Olympiastadion Berlin,Felix Brych
10,2021,2020-12-05,1,Arminia,0.8,2,1,2,Mainz 05,0,SchücoArena,Marco Fritz
10,2021,2020-12-05,1,Freiburg,3.3,2,2,1.3,M'Gladbach,0,Schwarzwald-Stadion,Tobias Stieler
10,2021,2020-12-05,1,Eint Frankfurt,0.8,1,1,1.2,Dortmund,0,Commerzbank-Arena,Guido Winkmann
10,2021,2020-12-05,1,Köln,0.7,2,2,1.6,Wolfsburg,0,RheinEnergieSTADION,Sven Jablonski
10,2021,2020-12-05,1,Bayern Munich,1.2,3,3,1.5,RB Leipzig,0,Allianz Arena,Daniel Siebert
10,2021,2020-12-06,1,Werder Bremen,0.8,1,2,2.3,Stuttgart,0,Weserstadion,Frank Willenborg
10,2021,2020-12-06,1,Schalke 04,1.3,0,3,2.5,Leverkusen,0,Veltins-Arena,Benjamin Cortus
10,2021,2020-12-07,1,Hoffenheim,1.4,3,1,0.9,Augsburg,0,PreZero Arena,Florian Badstübner
11,2021,2020-12-11,1,Wolfsburg,2.8,2,1,1.5,Eint Frankfurt,0,Volkswagen Arena,Markus Schmidt
11,2021,2020-12-12,1,M'Gladbach,1.4,1,1,0.5,Hertha BSC,0,Stadion im Borussia-Park,Robert Hartmann
11,2021,2020-12-12,1,Dortmund,0.8,1,5,3.9,Stuttgart,0,Signal Iduna Park,Christian Dingert
11,2021,2020-12-12,1,Freiburg,2.7,2,0,0.2,Arminia,0,Schwarzwald-Stadion,Harm Osmers
11,2021,2020-12-12,1,Mainz 05,1.7,0,1,1,Köln,0,Opel Arena,Felix Zwayer
11,2021,2020-12-12,1,RB Leipzig,2.7,2,0,0.4,Werder Bremen,0,Red Bull Arena,Sören Storks
11,2021,2020-12-12,1,Union Berlin,1.3,1,1,0.9,Bayern Munich,0,Stadion An der Alten Försterei,Bastian Dankert
11,2021,2020-12-13,1,Augsburg,1,2,2,1.9,Schalke 04,0,WWK Arena,Manuel Gräfe
11,2021,2020-12-13,1,Leverkusen,2.3,4,1,1.6,Hoffenheim,0,BayArena,Martin Petersen
12,2021,2020-12-15,1,Eint Frankfurt,2.2,3,3,1.6,M'Gladbach,0,Commerzbank-Arena,Benjamin Cortus
12,2021,2020-12-15,1,Werder Bremen,0.2,1,2,2.8,Dortmund,0,Weserstadion,Robert Schröder
12,2021,2020-12-15,1,Stuttgart,1.7,2,2,0.8,Union Berlin,0,Mercedes-Benz Arena,Sascha Stegemann
12,2021,2020-12-15,1,Hertha BSC,0.6,0,0,0.5,Mainz 05,0,Olympiastadion Berlin,Matthias Jöllenbeck
12,2021,2020-12-16,1,Schalke 04,0.4,0,2,1.4,Freiburg,0,Veltins-Arena,Sven Jablonski
12,2021,2020-12-16,1,Hoffenheim,0.8,0,1,0.3,RB Leipzig,0,PreZero Arena,Daniel Schlager
12,2021,2020-12-16,1,Köln,0.7,0,4,1.5,Leverkusen,0,RheinEnergieSTADION,Tobias Stieler
12,2021,2020-12-16,1,Bayern Munich,1.9,2,1,1.1,Wolfsburg,0,Allianz Arena,Marco Fritz
12,2021,2020-12-16,1,Arminia,0.8,0,1,0.6,Augsburg,0,SchücoArena,Patrick Ittrich
13,2021,2020-12-18,1,Union Berlin,1.1,2,1,1.7,Dortmund,0,Stadion An der Alten Försterei,Harm Osmers
13,2021,2020-12-19,1,M'Gladbach,1.8,1,2,1.8,Hoffenheim,0,Stadion im Borussia-Park,Frank Willenborg
13,2021,2020-12-19,1,Mainz 05,0.5,0,1,0.9,Werder Bremen,0,Opel Arena,Guido Winkmann
13,2021,2020-12-19,1,Schalke 04,0.6,0,1,0.7,Arminia,0,Veltins-Arena,Bastian Dankert
13,2021,2020-12-19,1,RB Leipzig,2.2,0,0,0.5,Köln,0,Red Bull Arena,Felix Brych
13,2021,2020-12-19,1,Augsburg,2,0,2,1.3,Eint Frankfurt,0,WWK Arena,Daniel Siebert
13,2021,2020-12-19,1,Leverkusen,0.3,1,2,1.3,Bayern Munich,0,BayArena,Felix Zwayer
13,2021,2020-12-20,1,Freiburg,2.8,4,1,1.8,Hertha BSC,0,Schwarzwald-Stadion,Tobias Reichel
13,2021,2020-12-20,1,Wolfsburg,1.8,1,0,1.7,Stuttgart,0,Volkswagen Arena,Florian Badstübner
1,2021,2020-09-18,0,Schalke 04,0.2,0,8,5.1,Bayern Munich,0,Allianz Arena,Felix Zwayer
1,2021,2020-09-19,0,Hoffenheim,3.1,3,2,2.1,Köln,0,RheinEnergieSTADION,Daniel Siebert
1,2021,2020-09-19,0,Arminia,1,1,1,1.6,Eint Frankfurt,6500,Commerzbank-Arena,Benjamin Brand
1,2021,2020-09-19,0,Hertha BSC,2.1,4,1,1,Werder Bremen,8400,Weserstadion,Sascha Stegemann
1,2021,2020-09-19,0,Augsburg,1.1,3,1,1.3,Union Berlin,4600,Stadion An der Alten Försterei,Marco Fritz
1,2021,2020-09-19,0,Freiburg,2,3,2,3.1,Stuttgart,7123,Mercedes-Benz Arena,Benjamin Cortus
1,2021,2020-09-19,0,M'Gladbach,0.6,0,3,1.6,Dortmund,9300,Signal Iduna Park,Felix Brych
1,2021,2020-09-20,0,Mainz 05,1.2,1,3,2.8,RB Leipzig,8500,Red Bull Arena,Manuel Gräfe
1,2021,2020-09-20,0,Leverkusen,0.7,0,0,1,Wolfsburg,0,Volkswagen Arena,Sven Jablonski
2,2021,2020-09-25,0,Eint Frankfurt,1.7,3,1,1.1,Hertha BSC,4000,Olympiastadion Berlin,Bastian Dankert
2,2021,2020-09-26,0,Stuttgart,2.7,4,1,1.2,Mainz 05,3403,Opel Arena,Daniel Schlager
2,2021,2020-09-26,0,Union Berlin,0.9,1,1,1.3,M'Gladbach,10383,Stadion im Borussia-Park,Tobias Stieler
2,2021,2020-09-26,0,RB Leipzig,0.8,1,1,0.8,Leverkusen,6042,BayArena,Harm Osmers
2,2021,2020-09-26,0,Köln,0.9,0,1,0.2,Arminia,5460,SchücoArena,Patrick Ittrich
2,2021,2020-09-26,0,Dortmund,1.7,0,2,1,Augsburg,6000,WWK Arena,Martin Petersen
2,2021,2020-09-26,0,Werder Bremen,2.4,3,1,1.2,Schalke 04,0,Veltins-Arena,Markus Schmidt
2,2021,2020-09-27,0,Bayern Munich,1.6,1,4,4,Hoffenheim,0,PreZero Arena,Benjamin Brand
2,2021,2020-09-27,0,Wolfsburg,0.6,1,1,1.5,Freiburg,3200,Schwarzwald-Stadion,Sören Storks
3,2021,2020-10-02,0,Mainz 05,0.2,0,4,1.9,Union Berlin,4400,Stadion An der Alten Försterei,Sascha Stegemann
3,2021,2020-10-03,0,Leverkusen,1.4,1,1,0.8,Stuttgart,9500,Mercedes-Benz Arena,Robert Hartmann
3,2021,2020-10-03,0,Arminia,0.9,0,1,0.4,Werder Bremen,300,Weserstadion,Robert Schröder
3,2021,2020-10-03,0,M'Gladbach,2.2,3,1,0.8,Köln,300,RheinEnergieSTADION,Marco Fritz
3,2021,2020-10-03,0,Hoffenheim,0.5,1,2,2.6,Eint Frankfurt,8000,Commerzbank-Arena,Manuel Gräfe
3,2021,2020-10-03,0,Freiburg,0.6,0,4,3.1,Dortmund,11500,Signal Iduna Park,Guido Winkmann
3,2021,2020-10-03,0,Schalke 04,0.1,0,4,3.2,RB Leipzig,8500,Red Bull Arena,Florian Badstübner
3,2021,2020-10-04,0,Augsburg,0.9,0,0,1.2,Wolfsburg,4632,Volkswagen Arena,Felix Zwayer
3,2021,2020-10-04,0,Hertha BSC,1.4,3,4,3.8,Bayern Munich,0,Allianz Arena,Benjamin Cortus
4,2021,2020-10-17,0,Werder Bremen,1.6,1,1,1,Freiburg,0,Schwarzwald-Stadion,Christian Dingert
4,2021,2020-10-17,0,Stuttgart,0.8,2,0,1.2,Hertha BSC,4000,Olympiastadion Berlin,Harm Osmers
4,2021,2020-10-17,0,Dortmund,2.4,1,0,1,Hoffenheim,6030,PreZero Arena,Sascha Stegemann
